municipality,year,Aplusplus,Aplus,A,B,C,D,E,F,G,unlabeled,percentage_houses_with_valid_labels,number_of_houses,average_house_worth,houses_per_hectare,total_natural_gas_used,total_electricity_used,households,people,CO2_production_houses,number_of_labels,houses_rented,houses_privately_owned
Stede Broec,2009,0,0,0,3,10,8,9,22,12,8451,0.8,8515,217,5.87,13960000,30900000,8470,21290,39679,64,2555,5961
Steenbergen,2008,1,0,2,69,121,81,56,41,13,9238,4,9622,222,0.66,17560000,34460000,9570,23210,48136,384,0,0
Steenbergen,2009,1,0,6,99,233,129,79,58,26,9034,6.5,9665,226,0.66,17710000,35070000,9610,23230,48356,631,3286,6379
Steenbergen,2010,1,0,39,124,246,141,90,60,29,9075,7.4,9805,226,0.67,17670000,35390000,9715,23225,47866,730,3432,6373
Steenbergen,2011,1,0,90,183,274,171,143,141,59,8823,10.7,9885,222,0.68,16780000,35160000,9735,23275,45480,1062,3460,6425
Steenbergen,2012,1,1,104,297,350,229,178,163,64,8623,13.9,10010,214,0.68,16540000,34640000,9895,23355,45853,1387,3340,6636
Steenbergen,2013,1,2,127,370,402,251,189,171,66,8467,15.7,10046,210,0.69,16160000,34760000,10010,23400,45585,1579,3335,6671
Steenbergen,2014,35,2,222,642,522,329,249,210,99,7757,22.9,10067,202,0.69,15640000,34060000,10080,23375,44942,2310,3356,6676
Steenbergen,2015,35,2,323,746,662,391,297,248,138,7154,28.4,9996,200,0.68,14790000,32140000,10455,23638,43486,2842,3374,6534
Steenbergen,2016,35,2,420,889,850,459,338,274,186,6553,34.5,10006,200,0.68,14300000,31700000,10375,23477,41104,3453,3198,6569
Steenbergen,2017,35,2,669,993,1049,573,385,318,223,5931,41.7,10178,202,0.7,14600000,31760000,10125,23970,40443,4247,3384,6720
Steenbergen,2018,34,2,858,979,969,487,356,250,213,6110,40.4,10258,207,0.7,14800000,31730000,11750,24781,40173,4148,3223,6992
Steenbergen,2019,34,2,964,1019,1017,502,379,273,234,5911,42.8,10335,215,0.71,14560000,30800000,11965,25054,37521,4424,3141,7181
Steenwijkerland,2011,1,3,267,512,1282,1048,454,243,67,14715,20.9,18592,225,0.64,33610000,59650000,18390,43280,86339,3877,7436,10968
Steenwijkerland,2012,1,3,387,738,1462,1117,496,255,69,14257,24.1,18785,214,0.65,32770000,59210000,18555,43400,86416,4528,7123,12135
