municipality,year,Aplusplus,Aplus,A,B,C,D,E,F,G,unlabeled,percentage_houses_with_valid_labels,number_of_houses,average_house_worth,houses_per_hectare,total_natural_gas_used,total_electricity_used,households,people,CO2_production_houses,number_of_labels,houses_rented,houses_privately_owned
Beekdaelen,2009,0,0,9,34,177,215,91,74,31,15461,3.9,16092,224,2.06,33970000,58790000,15820,37350,88679,631,4462,11524
Beekdaelen,2010,0,0,9,49,215,246,107,79,35,15395,4.6,16135,220,2.06,33070000,60790000,15960,37270,87097,740,4580,11560
Beekdaelen,2008,0,0,0,10,29,43,24,13,7,15854,0.8,15980,221,2.04,33760000,59190000,15760,37510,89102,126,0,0
Beemster,2009,0,0,4,10,138,77,106,25,7,3016,10.8,3383,329,0.48,6690000,12120000,3490,8560,17719,367,914,2471
Beemster,2010,0,0,5,13,142,81,110,26,8,3031,11.3,3416,333,0.48,6810000,12320000,3495,8585,17843,385,922,2493
Beemster,2011,0,0,5,33,169,81,110,26,8,3004,12.6,3436,331,0.49,6790000,12450000,3505,8575,17622,432,962,2473
Beemster,2012,0,0,6,33,172,81,110,26,8,3074,12.4,3510,324,0.5,6500000,12370000,3580,8720,17434,436,907,2509
Beemster,2013,0,0,14,44,172,81,110,26,8,2977,13.3,3432,316,0.49,6230000,11800000,3625,8785,16808,455,906,2520
Beemster,2014,0,0,14,45,183,96,137,41,8,3111,14.4,3635,304,0.52,6390000,12040000,3635,8910,17421,524,961,2647
Beemster,2015,0,0,50,68,226,117,151,54,26,2949,19,3641,293,0.52,5880000,11270000,3655,8903,16491,692,944,2684
Beemster,2016,0,0,204,82,249,134,163,71,55,2699,26.2,3657,296,0.52,5810000,11130000,3650,8958,15842,958,959,2678
Beemster,2017,0,0,379,173,318,198,200,100,81,2341,38.2,3790,304,0.54,6160000,11840000,3770,9205,16366,1449,977,2807
Beemster,2018,0,0,477,184,289,161,142,92,105,2386,37.8,3836,323,0.54,6370000,11970000,3860,9550,16555,1450,976,2854
Beemster,2019,0,0,612,274,328,131,121,81,118,2276,42.2,3941,363,0.56,6280000,12330000,3945,9748,15806,1665,964,2973
Beemster,2008,0,0,0,1,4,3,2,0,1,3371,0.3,3382,322,0.48,6820000,12110000,3410,8470,18076,11,0,0
Beesel,2013,0,1,182,251,932,640,342,164,53,3360,43.3,5925,195,2.12,9240000,20600000,5820,13685,26410,2565,1940,3944
Beesel,2014,0,2,182,251,933,640,342,165,53,3336,43.5,5904,186,2.11,8780000,19810000,5805,13615,25935,2568,1928,3962
Beesel,2015,0,2,356,274,994,675,374,177,63,2996,49.3,5911,179,2.11,8650000,19350000,5790,13511,26062,2915,2013,3883
Beesel,2016,0,2,384,301,1063,707,403,197,81,2744,53.3,5882,185,2.1,8660000,19150000,5775,13388,25207,3138,1970,3891
Beesel,2017,0,2,457,325,1109,732,423,215,95,2530,57,5888,186,2.1,8550000,19060000,5800,13405,24213,3358,1971,3904
Beesel,2018,0,2,469,270,846,467,332,165,98,3297,44.6,5946,194,2.12,8510000,18480000,5850,13444,23500,2649,1957,3974
Beesel,2019,0,2,643,520,1009,556,395,185,108,2541,57.4,5959,199,2.13,8500000,17860000,5890,13519,22135,3418,1918,4039
Beesel,2008,0,0,25,78,298,259,96,51,9,4922,14.2,5738,207,2.05,10190000,20550000,5610,13640,28215,816,0,0
Beesel,2009,0,0,36,106,513,387,117,55,9,4602,21,5825,213,2.08,10390000,19750000,5710,13800,27976,1223,1981,3845
Beesel,2010,0,0,47,216,805,614,332,159,52,3637,38,5862,214,2.09,10150000,21520000,5810,13900,28054,2225,1992,3868
Beesel,2011,0,0,50,229,861,626,333,160,52,3555,39.4,5866,205,2.1,9510000,21010000,5810,13845,26241,2311,1994,3871
Beesel,2012,0,0,110,249,926,639,338,161,52,3395,42.2,5870,201,2.1,9360000,20540000,5835,13740,26384,2475,1944,3933
Berg en Dal,2008,1,0,1,6,12,18,60,6,6,13828,0.8,13938,275,1.61,26710000,47660000,14200,34180,70900,110,0,0
Berg en Dal,2009,1,0,39,212,289,143,86,15,6,13260,5.6,14051,279,1.63,26360000,48710000,14310,34210,70304,791,5699,8351
Berg en Dal,2010,1,0,42,239,303,204,113,20,14,13241,6.6,14177,277,1.64,26600000,48790000,14410,34175,70013,936,5766,8414
Berg en Dal,2011,1,0,72,520,381,212,116,28,16,12875,9.5,14221,268,1.65,25810000,49120000,14470,34150,67763,1346,5783,8442
Berg en Dal,2012,1,20,157,526,463,214,116,29,16,12783,10.8,14325,258,1.66,23750000,46790000,14635,34175,64458,1542,5295,8892
Berg en Dal,2013,1,23,182,590,473,214,117,29,16,13255,11,14900,247,1.73,24740000,48410000,14885,34440,67468,1645,5749,9133
Berg en Dal,2014,12,71,498,1342,1374,464,279,92,29,10804,27.8,14965,228,1.73,24310000,47420000,15045,34300,67103,4161,5782,9113
Berg en Dal,2015,12,71,719,1509,1638,537,333,173,66,10035,33.5,15093,221,1.75,23280000,47170000,15075,34258,66624,5058,5900,9112
Berg en Dal,2016,12,71,1068,1599,2032,650,395,222,107,9126,40.3,15282,216,1.77,23060000,46300000,15395,34574,63928,6156,6035,9160
Berg en Dal,2017,12,71,1161,1691,2215,735,441,271,142,8658,43.8,15397,218,1.78,23240000,45490000,15495,34764,62087,6739,6173,9139
Berg en Dal,2018,11,69,1481,1704,2274,708,409,291,160,8411,45.8,15518,227,1.8,22990000,44370000,15600,34748,60260,7107,5995,9414
Berg en Dal,2019,11,69,1793,1784,2309,612,407,319,201,8140,48,15645,241,1.81,23090000,44620000,15700,34798,57865,7505,5969,9575
Bergeijk,2013,8,14,158,201,283,323,94,46,9,6437,15,7573,310,0.75,13920000,29110000,7355,18190,38853,1136,1578,5951
Bergeijk,2014,8,14,159,209,285,324,95,46,9,6504,15,7653,291,0.76,13580000,28110000,7410,18255,38288,1149,1618,5970
Bergeijk,2015,8,14,253,257,392,348,120,73,32,6182,19.5,7679,272,0.76,12890000,27540000,7465,18209,37643,1497,1622,5992
Bergeijk,2016,8,14,340,306,504,389,148,104,62,5867,24.2,7742,271,0.77,13110000,27390000,7550,18253,36856,1875,1637,6033
Bergeijk,2017,8,14,405,346,577,437,173,118,84,5608,27.8,7770,279,0.77,13240000,27380000,7670,18342,36031,2162,1665,6038
